Error Type,Image,Error Occurrences
FP,Individual_Component\test\test_negative\00000004\item_00004760.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002352.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003492.pnm,11
FN,Individual_Component\test\test_positive\00000003\item_00003429.pnm,10
FP,Individual_Component\test\test_negative\00000000\item_00000334.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005625.pnm,11
FP,Individual_Component\test\test_negative\00000005\item_00005115.pnm,27
FP,Individual_Component\test\test_negative\00000005\item_00005481.pnm,11
FP,Individual_Component\test\test_negative\00000000\item_00000724.pnm,7
FP,Individual_Component\test\test_negative\00000001\item_00001488.pnm,26
FN,Individual_Component\test\test_positive\00000001\item_00001143.pnm,3
FP,Individual_Component\test\test_negative\00000000\item_00000215.pnm,33
FN,Individual_Component\test\test_positive\00000002\item_00002833.pnm,11
FP,Individual_Component\test\test_negative\00000000\item_00000977.pnm,16
FN,Individual_Component\test\test_positive\00000002\item_00002998.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005540.pnm,6
FP,Individual_Component\test\test_negative\00000005\item_00005488.pnm,7
FP,Individual_Component\test\test_negative\00000003\item_00003861.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001124.pnm,8
FP,Individual_Component\test\test_negative\00000005\item_00005376.pnm,4
FP,Individual_Component\test\test_negative\00000005\item_00005284.pnm,3
FP,Individual_Component\test\test_negative\00000000\item_00000190.pnm,4
FN,Individual_Component\test\test_positive\00000001\item_00001328.pnm,11
FP,Individual_Component\test\test_negative\00000005\item_00005721.pnm,4
FP,Individual_Component\test\test_negative\00000005\item_00005993.pnm,2
FP,Individual_Component\test\test_negative\00000001\item_00001740.pnm,8
FP,Individual_Component\test\test_negative\00000003\item_00003080.pnm,18
FN,Individual_Component\test\test_positive\00000000\item_00000748.pnm,5
FN,Individual_Component\test\test_positive\00000002\item_00002215.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003136.pnm,3
FP,Individual_Component\test\test_negative\00000003\item_00003017.pnm,5
FN,Individual_Component\test\test_positive\00000003\item_00003026.pnm,4
FN,Individual_Component\test\test_positive\00000001\item_00001074.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001469.pnm,4
FP,Individual_Component\test\test_negative\00000002\item_00002553.pnm,6
FN,Individual_Component\test\test_positive\00000001\item_00001515.pnm,13
FP,Individual_Component\test\test_negative\00000003\item_00003094.pnm,35
FP,Individual_Component\test\test_negative\00000005\item_00005331.pnm,20
FN,Individual_Component\test\test_positive\00000002\item_00002126.pnm,4
FN,Individual_Component\test\test_positive\00000002\item_00002039.pnm,19
FP,Individual_Component\test\test_negative\00000003\item_00003158.pnm,6
FP,Individual_Component\test\test_negative\00000003\item_00003408.pnm,2
FP,Individual_Component\test\test_negative\00000001\item_00001789.pnm,2
FP,Individual_Component\test\test_negative\00000002\item_00002156.pnm,28
FN,Individual_Component\test\test_positive\00000001\item_00001096.pnm,8
FN,Individual_Component\test\test_positive\00000001\item_00001476.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003688.pnm,6
FN,Individual_Component\test\test_positive\00000002\item_00002019.pnm,3
FN,Individual_Component\test\test_positive\00000003\item_00003425.pnm,20
FP,Individual_Component\test\test_negative\00000003\item_00003015.pnm,10
FN,Individual_Component\test\test_positive\00000000\item_00000234.pnm,9
FP,Individual_Component\test\test_negative\00000000\item_00000401.pnm,4
FN,Individual_Component\test\test_positive\00000002\item_00002841.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000173.pnm,3
FP,Individual_Component\test\test_negative\00000005\item_00005214.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000350.pnm,6
FP,Individual_Component\test\test_negative\00000005\item_00005531.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000639.pnm,9
FP,Individual_Component\test\test_negative\00000004\item_00004276.pnm,6
FN,Individual_Component\test\test_positive\00000001\item_00001447.pnm,4
FP,Individual_Component\test\test_negative\00000002\item_00002842.pnm,5
FN,Individual_Component\test\test_positive\00000002\item_00002160.pnm,7
FN,Individual_Component\test\test_positive\00000002\item_00002461.pnm,9
FN,Individual_Component\test\test_positive\00000003\item_00003351.pnm,5
FN,Individual_Component\test\test_positive\00000002\item_00002631.pnm,9
FN,Individual_Component\test\test_positive\00000002\item_00002979.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000353.pnm,2
FN,Individual_Component\test\test_positive\00000003\item_00003294.pnm,25
FN,Individual_Component\test\test_positive\00000002\item_00002120.pnm,38
FP,Individual_Component\test\test_negative\00000004\item_00004499.pnm,3
FN,Individual_Component\test\test_positive\00000002\item_00002062.pnm,5
FP,Individual_Component\test\test_negative\00000002\item_00002470.pnm,2
FP,Individual_Component\test\test_negative\00000001\item_00001635.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004114.pnm,17
FP,Individual_Component\test\test_negative\00000002\item_00002680.pnm,15
FN,Individual_Component\test\test_positive\00000001\item_00001095.pnm,15
FN,Individual_Component\test\test_positive\00000000\item_00000725.pnm,10
FP,Individual_Component\test\test_negative\00000001\item_00001633.pnm,9
FP,Individual_Component\test\test_negative\00000001\item_00001556.pnm,11
FP,Individual_Component\test\test_negative\00000002\item_00002050.pnm,6
FN,Individual_Component\test\test_positive\00000002\item_00002178.pnm,15
FP,Individual_Component\test\test_negative\00000004\item_00004720.pnm,13
FP,Individual_Component\test\test_negative\00000004\item_00004562.pnm,8
FP,Individual_Component\test\test_negative\00000000\item_00000764.pnm,7
FN,Individual_Component\test\test_positive\00000001\item_00001283.pnm,31
FP,Individual_Component\test\test_negative\00000003\item_00003627.pnm,6
FP,Individual_Component\test\test_negative\00000003\item_00003717.pnm,10
FP,Individual_Component\test\test_negative\00000005\item_00005191.pnm,14
FP,Individual_Component\test\test_negative\00000004\item_00004237.pnm,4
FN,Individual_Component\test\test_positive\00000002\item_00002839.pnm,3
FP,Individual_Component\test\test_negative\00000005\item_00005144.pnm,15
FP,Individual_Component\test\test_negative\00000003\item_00003278.pnm,5
FP,Individual_Component\test\test_negative\00000004\item_00004621.pnm,6
FP,Individual_Component\test\test_negative\00000001\item_00001585.pnm,8
FP,Individual_Component\test\test_negative\00000000\item_00000162.pnm,22
FP,Individual_Component\test\test_negative\00000005\item_00005439.pnm,17
FN,Individual_Component\test\test_positive\00000001\item_00001122.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002492.pnm,11
FN,Individual_Component\test\test_positive\00000002\item_00002478.pnm,4
FP,Individual_Component\test\test_negative\00000001\item_00001741.pnm,8
FN,Individual_Component\test\test_positive\00000003\item_00003387.pnm,15
FN,Individual_Component\test\test_positive\00000002\item_00002021.pnm,15
FP,Individual_Component\test\test_negative\00000005\item_00005058.pnm,4
FP,Individual_Component\test\test_negative\00000004\item_00004587.pnm,10
FN,Individual_Component\test\test_positive\00000002\item_00002713.pnm,18
FP,Individual_Component\test\test_negative\00000004\item_00004533.pnm,24
FN,Individual_Component\test\test_positive\00000002\item_00002248.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000400.pnm,7
FN,Individual_Component\test\test_positive\00000002\item_00002345.pnm,10
FP,Individual_Component\test\test_negative\00000005\item_00005538.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003182.pnm,19
FN,Individual_Component\test\test_positive\00000000\item_00000650.pnm,3
FN,Individual_Component\test\test_positive\00000001\item_00001424.pnm,5
FP,Individual_Component\test\test_negative\00000000\item_00000830.pnm,2
FP,Individual_Component\test\test_negative\00000002\item_00002952.pnm,3
FP,Individual_Component\test\test_negative\00000001\item_00001510.pnm,10
FN,Individual_Component\test\test_positive\00000000\item_00000972.pnm,11
FP,Individual_Component\test\test_negative\00000000\item_00000801.pnm,23
FN,Individual_Component\test\test_positive\00000003\item_00003200.pnm,8
FP,Individual_Component\test\test_negative\00000002\item_00002606.pnm,19
FP,Individual_Component\test\test_negative\00000005\item_00005611.pnm,20
FN,Individual_Component\test\test_positive\00000000\item_00000855.pnm,9
FN,Individual_Component\test\test_positive\00000002\item_00002279.pnm,4
FP,Individual_Component\test\test_negative\00000004\item_00004821.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000226.pnm,8
FP,Individual_Component\test\test_negative\00000003\item_00003310.pnm,3
FP,Individual_Component\test\test_negative\00000001\item_00001133.pnm,19
FN,Individual_Component\test\test_positive\00000001\item_00001662.pnm,3
FP,Individual_Component\test\test_negative\00000000\item_00000140.pnm,6
FP,Individual_Component\test\test_negative\00000003\item_00003574.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005520.pnm,31
FN,Individual_Component\test\test_positive\00000000\item_00000172.pnm,6
FP,Individual_Component\test\test_negative\00000000\item_00000158.pnm,8
FP,Individual_Component\test\test_negative\00000002\item_00002669.pnm,24
FN,Individual_Component\test\test_positive\00000003\item_00003210.pnm,8
FP,Individual_Component\test\test_negative\00000003\item_00003950.pnm,8
FP,Individual_Component\test\test_negative\00000001\item_00001439.pnm,3
FN,Individual_Component\test\test_positive\00000000\item_00000880.pnm,15
FN,Individual_Component\test\test_positive\00000000\item_00000986.pnm,9
FP,Individual_Component\test\test_negative\00000001\item_00001978.pnm,10
FP,Individual_Component\test\test_negative\00000002\item_00002010.pnm,11
FP,Individual_Component\test\test_negative\00000002\item_00002283.pnm,4
FP,Individual_Component\test\test_negative\00000004\item_00004948.pnm,3
FP,Individual_Component\test\test_negative\00000004\item_00004908.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001835.pnm,11
FN,Individual_Component\test\test_positive\00000003\item_00003194.pnm,12
FP,Individual_Component\test\test_negative\00000000\item_00000457.pnm,12
FN,Individual_Component\test\test_positive\00000000\item_00000408.pnm,4
FN,Individual_Component\test\test_positive\00000000\item_00000476.pnm,8
FP,Individual_Component\test\test_negative\00000005\item_00005554.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002985.pnm,2
FN,Individual_Component\test\test_positive\00000000\item_00000848.pnm,4
FN,Individual_Component\test\test_positive\00000001\item_00001358.pnm,16
FP,Individual_Component\test\test_negative\00000000\item_00000913.pnm,4
FP,Individual_Component\test\test_negative\00000003\item_00003516.pnm,10
FP,Individual_Component\test\test_negative\00000002\item_00002311.pnm,5
FP,Individual_Component\test\test_negative\00000004\item_00004253.pnm,4
FN,Individual_Component\test\test_positive\00000000\item_00000976.pnm,9
FP,Individual_Component\test\test_negative\00000005\item_00005255.pnm,4
FP,Individual_Component\test\test_negative\00000003\item_00003755.pnm,5
FN,Individual_Component\test\test_positive\00000002\item_00002196.pnm,24
FP,Individual_Component\test\test_negative\00000001\item_00001028.pnm,3
FP,Individual_Component\test\test_negative\00000003\item_00003305.pnm,19
FP,Individual_Component\test\test_negative\00000004\item_00004191.pnm,4
FP,Individual_Component\test\test_negative\00000005\item_00005298.pnm,4
FP,Individual_Component\test\test_negative\00000000\item_00000841.pnm,3
FP,Individual_Component\test\test_negative\00000002\item_00002561.pnm,24
FP,Individual_Component\test\test_negative\00000001\item_00001057.pnm,4
FN,Individual_Component\test\test_positive\00000001\item_00001649.pnm,3
FP,Individual_Component\test\test_negative\00000003\item_00003378.pnm,1
FN,Individual_Component\test\test_positive\00000003\item_00003010.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003652.pnm,8
FP,Individual_Component\test\test_negative\00000003\item_00003946.pnm,2
FP,Individual_Component\test\test_negative\00000001\item_00001187.pnm,2
FN,Individual_Component\test\test_positive\00000001\item_00001468.pnm,4
FP,Individual_Component\test\test_negative\00000001\item_00001077.pnm,4
FP,Individual_Component\test\test_negative\00000003\item_00003895.pnm,4
FN,Individual_Component\test\test_positive\00000002\item_00002701.pnm,5
FP,Individual_Component\test\test_negative\00000001\item_00001174.pnm,3
FP,Individual_Component\test\test_negative\00000002\item_00002426.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001583.pnm,2
FP,Individual_Component\test\test_negative\00000001\item_00001485.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003098.pnm,5
FP,Individual_Component\test\test_negative\00000002\item_00002014.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001962.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000794.pnm,11
FN,Individual_Component\test\test_positive\00000000\item_00000062.pnm,7
FP,Individual_Component\test\test_negative\00000003\item_00003086.pnm,19
FN,Individual_Component\test\test_positive\00000002\item_00002341.pnm,6
FN,Individual_Component\test\test_positive\00000003\item_00003069.pnm,11
FN,Individual_Component\test\test_positive\00000002\item_00002285.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005939.pnm,3
FP,Individual_Component\test\test_negative\00000000\item_00000566.pnm,5
FN,Individual_Component\test\test_positive\00000002\item_00002573.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002846.pnm,2
FP,Individual_Component\test\test_negative\00000004\item_00004675.pnm,3
FP,Individual_Component\test\test_negative\00000005\item_00005433.pnm,21
FP,Individual_Component\test\test_negative\00000000\item_00000898.pnm,8
FP,Individual_Component\test\test_negative\00000002\item_00002516.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005149.pnm,8
FN,Individual_Component\test\test_positive\00000000\item_00000717.pnm,5
FN,Individual_Component\test\test_positive\00000001\item_00001005.pnm,4
FN,Individual_Component\test\test_positive\00000003\item_00003357.pnm,30
FN,Individual_Component\test\test_positive\00000001\item_00001606.pnm,4
FN,Individual_Component\test\test_positive\00000000\item_00000816.pnm,4
FP,Individual_Component\test\test_negative\00000001\item_00001607.pnm,3
FN,Individual_Component\test\test_positive\00000002\item_00002132.pnm,15
FN,Individual_Component\test\test_positive\00000000\item_00000304.pnm,1
FN,Individual_Component\test\test_positive\00000003\item_00003122.pnm,6
FP,Individual_Component\test\test_negative\00000004\item_00004455.pnm,9
FN,Individual_Component\test\test_positive\00000000\item_00000858.pnm,9
FN,Individual_Component\test\test_positive\00000000\item_00000211.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000291.pnm,8
FP,Individual_Component\test\test_negative\00000002\item_00002660.pnm,1
FN,Individual_Component\test\test_positive\00000003\item_00003257.pnm,5
FN,Individual_Component\test\test_positive\00000000\item_00000564.pnm,8
FP,Individual_Component\test\test_negative\00000001\item_00001496.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005901.pnm,4
FN,Individual_Component\test\test_positive\00000001\item_00001168.pnm,5
FN,Individual_Component\test\test_positive\00000000\item_00000706.pnm,2
FN,Individual_Component\test\test_positive\00000001\item_00001533.pnm,2
FN,Individual_Component\test\test_positive\00000000\item_00000100.pnm,3
FN,Individual_Component\test\test_positive\00000000\item_00000231.pnm,8
FP,Individual_Component\test\test_negative\00000000\item_00000940.pnm,6
FP,Individual_Component\test\test_negative\00000004\item_00004845.pnm,8
FN,Individual_Component\test\test_positive\00000000\item_00000443.pnm,2
FN,Individual_Component\test\test_positive\00000003\item_00003341.pnm,4
FN,Individual_Component\test\test_positive\00000001\item_00001675.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002677.pnm,6
FP,Individual_Component\test\test_negative\00000003\item_00003756.pnm,3
FN,Individual_Component\test\test_positive\00000003\item_00003116.pnm,12
FN,Individual_Component\test\test_positive\00000001\item_00001461.pnm,1
FN,Individual_Component\test\test_positive\00000003\item_00003363.pnm,5
FP,Individual_Component\test\test_negative\00000005\item_00005008.pnm,3
FN,Individual_Component\test\test_positive\00000002\item_00002395.pnm,5
FP,Individual_Component\test\test_negative\00000002\item_00002947.pnm,3
FP,Individual_Component\test\test_negative\00000002\item_00002823.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003815.pnm,2
FN,Individual_Component\test\test_positive\00000001\item_00001031.pnm,3
FN,Individual_Component\test\test_positive\00000002\item_00002672.pnm,7
FN,Individual_Component\test\test_positive\00000000\item_00000035.pnm,6
FP,Individual_Component\test\test_negative\00000005\item_00005603.pnm,4
FN,Individual_Component\test\test_positive\00000001\item_00001307.pnm,4
FN,Individual_Component\test\test_positive\00000000\item_00000027.pnm,2
FN,Individual_Component\test\test_positive\00000001\item_00001927.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002430.pnm,12
FP,Individual_Component\test\test_negative\00000000\item_00000403.pnm,3
FP,Individual_Component\test\test_negative\00000000\item_00000152.pnm,3
FP,Individual_Component\test\test_negative\00000003\item_00003552.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000230.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004347.pnm,8
FP,Individual_Component\test\test_negative\00000000\item_00000355.pnm,2
FN,Individual_Component\test\test_positive\00000000\item_00000918.pnm,6
FP,Individual_Component\test\test_negative\00000005\item_00005987.pnm,6
FP,Individual_Component\test\test_negative\00000001\item_00001389.pnm,6
FN,Individual_Component\test\test_positive\00000000\item_00000569.pnm,10
FN,Individual_Component\test\test_positive\00000002\item_00002511.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000825.pnm,8
FP,Individual_Component\test\test_negative\00000000\item_00000053.pnm,6
FN,Individual_Component\test\test_positive\00000002\item_00002299.pnm,10
FP,Individual_Component\test\test_negative\00000000\item_00000959.pnm,17
FP,Individual_Component\test\test_negative\00000001\item_00001140.pnm,32
FP,Individual_Component\test\test_negative\00000005\item_00005863.pnm,7
FN,Individual_Component\test\test_positive\00000000\item_00000558.pnm,6
FP,Individual_Component\test\test_negative\00000005\item_00005039.pnm,4
FN,Individual_Component\test\test_positive\00000003\item_00003119.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005822.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004844.pnm,2
FP,Individual_Component\test\test_negative\00000002\item_00002883.pnm,13
FN,Individual_Component\test\test_positive\00000000\item_00000657.pnm,10
FN,Individual_Component\test\test_positive\00000001\item_00001268.pnm,2
FP,Individual_Component\test\test_negative\00000001\item_00001088.pnm,2
FN,Individual_Component\test\test_positive\00000001\item_00001781.pnm,9
FP,Individual_Component\test\test_negative\00000005\item_00005076.pnm,11
FN,Individual_Component\test\test_positive\00000000\item_00000352.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005300.pnm,8
FN,Individual_Component\test\test_positive\00000001\item_00001986.pnm,8
FP,Individual_Component\test\test_negative\00000001\item_00001097.pnm,5
FP,Individual_Component\test\test_negative\00000005\item_00005964.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005748.pnm,7
FP,Individual_Component\test\test_negative\00000001\item_00001919.pnm,6
FP,Individual_Component\test\test_negative\00000003\item_00003843.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000674.pnm,5
FN,Individual_Component\test\test_positive\00000003\item_00003041.pnm,3
FP,Individual_Component\test\test_negative\00000002\item_00002189.pnm,6
FP,Individual_Component\test\test_negative\00000005\item_00005458.pnm,7
FP,Individual_Component\test\test_negative\00000002\item_00002934.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002260.pnm,15
FN,Individual_Component\test\test_positive\00000002\item_00002905.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000758.pnm,3
FP,Individual_Component\test\test_negative\00000000\item_00000930.pnm,10
FP,Individual_Component\test\test_negative\00000003\item_00003799.pnm,13
FP,Individual_Component\test\test_negative\00000004\item_00004864.pnm,11
FP,Individual_Component\test\test_negative\00000005\item_00005150.pnm,6
FN,Individual_Component\test\test_positive\00000000\item_00000377.pnm,3
FP,Individual_Component\test\test_negative\00000004\item_00004080.pnm,7
FP,Individual_Component\test\test_negative\00000005\item_00005005.pnm,11
FN,Individual_Component\test\test_positive\00000000\item_00000822.pnm,4
FP,Individual_Component\test\test_negative\00000000\item_00000347.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002517.pnm,7
FP,Individual_Component\test\test_negative\00000005\item_00005412.pnm,7
FN,Individual_Component\test\test_positive\00000000\item_00000093.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005118.pnm,7
FP,Individual_Component\test\test_negative\00000005\item_00005894.pnm,3
FN,Individual_Component\test\test_positive\00000002\item_00002473.pnm,8
FN,Individual_Component\test\test_positive\00000001\item_00001603.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003473.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000319.pnm,4
FP,Individual_Component\test\test_negative\00000002\item_00002271.pnm,5
FP,Individual_Component\test\test_negative\00000000\item_00000370.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002997.pnm,3
FP,Individual_Component\test\test_negative\00000004\item_00004395.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003327.pnm,4
FP,Individual_Component\test\test_negative\00000005\item_00005469.pnm,3
FP,Individual_Component\test\test_negative\00000004\item_00004316.pnm,8
FP,Individual_Component\test\test_negative\00000002\item_00002807.pnm,5
FN,Individual_Component\test\test_positive\00000000\item_00000266.pnm,3
FP,Individual_Component\test\test_negative\00000005\item_00005568.pnm,4
FN,Individual_Component\test\test_positive\00000001\item_00001422.pnm,3
FP,Individual_Component\test\test_negative\00000001\item_00001240.pnm,4
FN,Individual_Component\test\test_positive\00000001\item_00001247.pnm,1
FN,Individual_Component\test\test_positive\00000003\item_00003117.pnm,5
FP,Individual_Component\test\test_negative\00000002\item_00002819.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005670.pnm,9
FN,Individual_Component\test\test_positive\00000000\item_00000950.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003893.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001087.pnm,3
FP,Individual_Component\test\test_negative\00000004\item_00004827.pnm,2
FN,Individual_Component\test\test_positive\00000003\item_00003339.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000101.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002054.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003972.pnm,8
FP,Individual_Component\test\test_negative\00000001\item_00001493.pnm,5
FP,Individual_Component\test\test_negative\00000003\item_00003227.pnm,7
FN,Individual_Component\test\test_positive\00000000\item_00000924.pnm,5
FP,Individual_Component\test\test_negative\00000003\item_00003000.pnm,12
FN,Individual_Component\test\test_positive\00000000\item_00000197.pnm,13
FP,Individual_Component\test\test_negative\00000003\item_00003578.pnm,4
FN,Individual_Component\test\test_positive\00000001\item_00001836.pnm,6
FN,Individual_Component\test\test_positive\00000000\item_00000405.pnm,32
FP,Individual_Component\test\test_negative\00000005\item_00005362.pnm,9
FP,Individual_Component\test\test_negative\00000001\item_00001498.pnm,3
FN,Individual_Component\test\test_positive\00000002\item_00002837.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003178.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000231.pnm,13
FN,Individual_Component\test\test_positive\00000000\item_00000107.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000691.pnm,6
FN,Individual_Component\test\test_positive\00000003\item_00003027.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000160.pnm,10
FN,Individual_Component\test\test_positive\00000003\item_00003329.pnm,6
FP,Individual_Component\test\test_negative\00000000\item_00000856.pnm,3
FN,Individual_Component\test\test_positive\00000002\item_00002232.pnm,5
FP,Individual_Component\test\test_negative\00000001\item_00001945.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002086.pnm,3
FP,Individual_Component\test\test_negative\00000004\item_00004679.pnm,3
FP,Individual_Component\test\test_negative\00000005\item_00005801.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000850.pnm,6
FN,Individual_Component\test\test_positive\00000001\item_00001518.pnm,3
FN,Individual_Component\test\test_positive\00000000\item_00000638.pnm,4
FP,Individual_Component\test\test_negative\00000005\item_00005793.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004159.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002707.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002995.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004900.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002225.pnm,3
FN,Individual_Component\test\test_positive\00000000\item_00000551.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000057.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002155.pnm,6
FP,Individual_Component\test\test_negative\00000002\item_00002907.pnm,10
FP,Individual_Component\test\test_negative\00000004\item_00004570.pnm,2
FP,Individual_Component\test\test_negative\00000004\item_00004182.pnm,4
FP,Individual_Component\test\test_negative\00000002\item_00002478.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000541.pnm,2
FN,Individual_Component\test\test_positive\00000000\item_00000767.pnm,4
FN,Individual_Component\test\test_positive\00000001\item_00001804.pnm,5
FP,Individual_Component\test\test_negative\00000004\item_00004956.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005440.pnm,6
FP,Individual_Component\test\test_negative\00000001\item_00001445.pnm,7
FP,Individual_Component\test\test_negative\00000005\item_00005615.pnm,5
FN,Individual_Component\test\test_positive\00000003\item_00003337.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005667.pnm,2
FP,Individual_Component\test\test_negative\00000001\item_00001615.pnm,11
FP,Individual_Component\test\test_negative\00000002\item_00002644.pnm,4
FP,Individual_Component\test\test_negative\00000003\item_00003007.pnm,4
FN,Individual_Component\test\test_positive\00000000\item_00000087.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005718.pnm,6
FP,Individual_Component\test\test_negative\00000005\item_00005942.pnm,5
FN,Individual_Component\test\test_positive\00000001\item_00001209.pnm,2
FP,Individual_Component\test\test_negative\00000002\item_00002764.pnm,24
FP,Individual_Component\test\test_negative\00000003\item_00003293.pnm,11
FN,Individual_Component\test\test_positive\00000000\item_00000944.pnm,4
FP,Individual_Component\test\test_negative\00000001\item_00001501.pnm,6
FP,Individual_Component\test\test_negative\00000004\item_00004921.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001401.pnm,7
FN,Individual_Component\test\test_positive\00000000\item_00000597.pnm,5
FP,Individual_Component\test\test_negative\00000002\item_00002444.pnm,4
FP,Individual_Component\test\test_negative\00000000\item_00000696.pnm,7
FN,Individual_Component\test\test_positive\00000002\item_00002793.pnm,2
FP,Individual_Component\test\test_negative\00000004\item_00004745.pnm,2
FP,Individual_Component\test\test_negative\00000001\item_00001396.pnm,7
FP,Individual_Component\test\test_negative\00000002\item_00002029.pnm,4
FP,Individual_Component\test\test_negative\00000000\item_00000589.pnm,4
FP,Individual_Component\test\test_negative\00000004\item_00004031.pnm,7
FP,Individual_Component\test\test_negative\00000005\item_00005485.pnm,3
FN,Individual_Component\test\test_positive\00000002\item_00002685.pnm,7
FN,Individual_Component\test\test_positive\00000001\item_00001653.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005065.pnm,18
FN,Individual_Component\test\test_positive\00000001\item_00001682.pnm,9
FP,Individual_Component\test\test_negative\00000000\item_00000970.pnm,6
FP,Individual_Component\test\test_negative\00000005\item_00005007.pnm,2
FN,Individual_Component\test\test_positive\00000003\item_00003087.pnm,6
FN,Individual_Component\test\test_positive\00000002\item_00002402.pnm,4
FP,Individual_Component\test\test_negative\00000002\item_00002342.pnm,2
FP,Individual_Component\test\test_negative\00000004\item_00004047.pnm,7
FN,Individual_Component\test\test_positive\00000001\item_00001071.pnm,4
FN,Individual_Component\test\test_positive\00000001\item_00001318.pnm,6
FP,Individual_Component\test\test_negative\00000001\item_00001260.pnm,13
FP,Individual_Component\test\test_negative\00000004\item_00004808.pnm,3
FP,Individual_Component\test\test_negative\00000004\item_00004585.pnm,2
FP,Individual_Component\test\test_negative\00000002\item_00002202.pnm,5
FN,Individual_Component\test\test_positive\00000002\item_00002023.pnm,7
FP,Individual_Component\test\test_negative\00000004\item_00004553.pnm,4
FP,Individual_Component\test\test_negative\00000003\item_00003648.pnm,7
